End date,"8/16/2018"
Specimen label,"D60L40N5d4"
Maximum Load,"11.33875",N
Extension at Maximum Load,"283.00095",mm
Maximum Slope (Automatic Young's),"0.04222",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"52.30000","26.15092","1.11292"
"52.40000","26.20103","1.11458"
"52.50000","26.25096","1.11834"
"52.60000","26.30100","1.11983"
"52.70000","26.35098","1.12146"
"52.80000","26.40102","1.12428"
"52.90000","26.45101","1.13003"
"53.00000","26.50093","1.13525"
"53.10000","26.55086","1.13617"
"53.20000","26.60090","1.13588"
"53.30000","26.65101","1.13785"
"53.40000","26.70099","1.13962"
"53.50000","26.75097","1.14285"
"53.60000","26.80090","1.14499"
"53.70000","26.85094","1.14821"
"53.80000","26.90098","1.15149"
"53.90000","26.95091","1.15355"
"54.00000","27.00095","1.15580"
"54.10000","27.05094","1.15730"
"54.20000","27.10098","1.16136"
"54.30000","27.15097","1.16244"
"54.40000","27.20095","1.16461"
"54.50000","27.25093","1.16697"
"54.60000","27.30103","1.16867"
"54.70000","27.35090","1.17040"
"54.80000","27.40094","1.17377"
"54.90000","27.45105","1.17692"
"55.00000","27.50097","1.17812"
"55.10000","27.55096","1.17901"
"55.20000","27.60094","1.18183"
"55.30000","27.65087","1.18392"
"55.40000","27.70097","1.18695"
"55.50000","27.75095","1.18922"
"55.60000","27.80094","1.19066"
"55.70000","27.85092","1.19091"
"55.80000","27.90108","1.19665"
"55.90000","27.95101","1.19425"
"56.00000","28.00099","1.19768"
"56.10000","28.05098","1.20024"
"56.20000","28.10096","1.20241"
"56.30000","28.15100","1.20580"
"56.40000","28.20081","1.20698"
"56.50000","28.25091","1.20893"
"56.60000","28.30096","1.21163"
"56.70000","28.35094","1.21197"
"56.80000","28.40104","1.21264"
"56.90000","28.45091","1.21557"
"57.00000","28.50095","1.21637"
"57.10000","28.55094","1.21766"
"57.20000","28.60104","1.21946"
"57.30000","28.65091","1.22167"
"57.40000","28.70089","1.22248"
"57.50000","28.75099","1.22447"
"57.60000","28.80098","1.22610"
"57.70000","28.85102","1.22752"
"57.80000","28.90101","1.22942"
"57.90000","28.95093","1.23031"
"58.00000","29.00103","1.23246"
"58.10000","29.05090","1.23354"
"58.20000","29.10100","1.23482"
"58.30000","29.15099","1.23649"
"58.40000","29.20097","1.23812"
"58.50000","29.25101","1.24012"
"58.60000","29.30100","1.24108"
"58.70000","29.35098","1.24469"
"58.80000","29.40097","1.24707"
"58.90000","29.45101","1.24987"
"59.00000","29.50093","1.24807"
"59.10000","29.55098","1.24900"
"59.20000","29.60090","1.25053"
"59.30000","29.65095","1.25409"
"59.40000","29.70105","1.25454"
"59.50000","29.75086","1.25564"
"59.60000","29.80090","1.25999"
"59.70000","29.85094","1.26121"
"59.80000","29.90093","1.26105"
"59.90000","29.95097","1.26325"
"60.00000","30.00096","1.26763"
"60.10000","30.05100","1.26905"
"60.20000","30.10104","1.27300"
"60.30000","30.15091","1.27463"
"60.40000","30.20107","1.27704"
"60.50000","30.25099","1.27884"
"60.60000","30.30104","1.27998"
"60.70000","30.35084","1.28399"
"60.80000","30.40100","1.28613"
"60.90000","30.45099","1.29000"
"61.00000","30.50103","1.28992"
"61.10000","30.55108","1.29149"
"61.20000","30.60094","1.29327"
"61.30000","30.65087","1.29475"
"61.40000","30.70097","1.29929"
"61.50000","30.75101","1.30081"
"61.60000","30.80100","1.30085"
"61.70000","30.85098","1.30592"
"61.80000","30.90102","1.30713"
"61.90000","30.95095","1.30996"
"62.00000","31.00099","1.31064"
"62.10000","31.05092","1.31350"
"62.20000","31.10096","1.31576"
"62.30000","31.15101","1.31810"
"62.40000","31.20087","1.31844"
"62.50000","31.25091","1.32010"
"62.60000","31.30101","1.32268"
"62.70000","31.35100","1.32573"
"62.80000","31.40098","1.32954"
"62.90000","31.45091","1.32810"
"63.00000","31.50095","1.33097"
"63.10000","31.55088","1.33630"
"63.20000","31.60104","1.34103"
"63.30000","31.65096","1.34174"
"63.40000","31.70095","1.34059"
"63.50000","31.75093","1.34366"
"63.60000","31.80097","1.34879"
"63.70000","31.85096","1.35008"
"63.80000","31.90100","1.35238"
"63.90000","31.95093","1.35375"
"64.00000","32.00103","1.35484"
"64.10000","32.05101","1.35864"
"64.20000","32.10100","1.36232"
"64.30000","32.15099","1.36376"
"64.40000","32.20103","1.36722"
"64.50000","32.25089","1.36983"
"64.60000","32.30093","1.37217"
"64.70000","32.35092","1.37158"
"64.80000","32.40096","1.37578"
"64.90000","32.45101","1.37888"
"65.00000","32.50093","1.38187"
"65.10000","32.55091","1.38611"
"65.20000","32.60090","1.38840"
"65.30000","32.65088","1.39157"
"65.40000","32.70099","1.39288"
"65.50000","32.75091","1.39630"
"65.60000","32.80096","1.39618"
"65.70000","32.85088","1.39682"
"65.80000","32.90086","1.39935"
"65.90000","32.95097","1.40302"
"66.00000","33.00095","1.40562"
"66.10000","33.05093","1.40744"
"66.20000","33.10110","1.40983"
"66.30000","33.15091","1.40925"
"66.40000","33.20089","1.41246"
"66.50000","33.25093","1.41439"
"66.60000","33.30098","1.41740"
"66.70000","33.35090","1.41805"
"66.80000","33.40100","1.41837"
"66.90000","33.45093","1.42129"
"67.00000","33.50103","1.42467"
"67.10000","33.55101","1.42531"
"67.20000","33.60088","1.42674"
"67.30000","33.65086","1.42945"
"67.40000","33.70085","1.43080"
"67.50000","33.75095","1.43223"
"67.60000","33.80094","1.43399"
"67.70000","33.85104","1.43674"
