End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"29.72600","14.86404","85.48901"
"29.79400","14.89800","85.61423"
"29.82400","14.91294","85.74888"
"29.86400","14.93297","85.87528"
"29.90400","14.95294","86.00076"
"29.93600","14.96891","86.13081"
"29.96600","14.98391","86.25895"
"29.99600","14.99892","86.39089"
"30.02600","15.01387","86.51968"
"30.06000","15.03103","86.65179"
"30.09200","15.04693","86.78001"
"30.15800","15.07994","86.90532"
"30.22600","15.11390","87.03137"
"30.31000","15.15581","87.15718"
"30.39600","15.19892","87.28522"
"30.46400","15.23300","87.41034"
"30.52800","15.26499","87.54108"
"30.59000","15.29596","87.66995"
"30.64800","15.32489","87.79551"
"30.68800","15.34492","87.92304"
"30.75000","15.37595","88.05099"
"30.79200","15.39694","88.18069"
"30.86600","15.43389","88.31299"
"30.89000","15.44585","88.44945"
"30.92000","15.46103","88.58120"
"30.96000","15.48095","88.70741"
"30.99800","15.50002","88.83758"
"31.02800","15.51491","88.96368"
"31.07200","15.53691","89.09335"
"31.11000","15.55592","89.21860"
"31.15000","15.57595","89.34646"
"31.18200","15.59197","89.47167"
"31.22400","15.61284","89.59773"
"31.30400","15.65296","89.72638"
"31.36400","15.68297","89.85296"
"31.41600","15.70904","89.98143"
"31.49200","15.74701","90.10889"
"31.55000","15.77595","90.23504"
"31.59800","15.79986","90.36233"
"31.66800","15.83496","90.49036"
"31.71600","15.85899","90.61814"
"31.79000","15.89588","90.74453"
"31.87800","15.93995","90.86971"
"31.97800","15.98999","90.99769"
"32.06600","16.03394","91.12331"
"32.16600","16.08398","91.24506"
"32.26200","16.13205","91.37106"
"32.33800","16.16996","91.49688"
"32.40600","16.20398","91.62521"
"32.44000","16.22096","91.75062"
"32.49200","16.24685","91.87583"
"32.53600","16.26891","92.00313"
"32.57600","16.28894","92.12862"
